iter	Passed	Remaining
596	3184	2149
597	3189	2144
598	3194	2138
599	3197	2131
600	3201	2125
601	3206	2119
602	3211	2114
603	3216	2108
604	3221	2103
605	3226	2098
606	3233	2093
607	3238	2087
608	3243	2082
609	3249	2077
610	3254	2071
611	3256	2064
612	3261	2058
613	3265	2053
614	3270	2047
615	3275	2041
616	3280	2036
617	3285	2030
618	3290	2025
619	3295	2019
620	3299	2014
621	3304	2008
622	3309	2002
623	3315	1997
624	3323	1993
625	3329	1989
626	3335	1984
627	3340	1979
628	3346	1973
629	3351	1968
630	3357	1963
631	3361	1957
632	3366	1951
633	3371	1946
634	3376	1940
635	3381	1935
636	3386	1929
637	3391	1924
638	3396	1918
639	3400	1913
640	3405	1907
641	3410	1901
642	3421	1899
643	3426	1894
644	3431	1888
645	3437	1883
646	3442	1878
647	3447	1872
648	3452	1867
649	3457	1861
650	3462	1856
651	3467	1850
652	3472	1845
653	3476	1839
654	3481	1833
655	3486	1828
656	3493	1823
657	3498	1818
658	3503	1812
659	3510	1808
660	3516	1803
661	3521	1798
662	3530	1794
663	3536	1789
664	3541	1783
665	3546	1778
666	3551	1773
667	3556	1767
668	3561	1762
669	3566	1756
670	3571	1751
671	3576	1745
672	3581	1740
673	3586	1734
674	3590	1728
675	3595	1723
676	3601	1718
677	3606	1712
678	3611	1707
679	3616	1701
680	3622	1696
681	3626	1691
682	3631	1685
683	3636	1679
684	3641	1674
685	3646	1668
686	3650	1663
687	3655	1657
688	3660	1652
689	3665	1646
690	3670	1641
691	3675	1635
692	3680	1630
693	3685	1624
694	3689	1619
695	3696	1614
696	3704	1610
697	3709	1604
698	3716	1600
699	3721	1595
700	3727	1589
701	3732	1584
702	3737	1578
703	3742	1573
704	3746	1567
705	3751	1562
706	3756	1556
707	3761	1551
708	3766	1545
709	3771	1540
710	3776	1534
711	3781	1529
712	3785	1523
713	3791	1518
714	3796	1513
715	3801	1507
716	3807	1502
717	3812	1497
718	3817	1491
719	3822	1486
720	3827	1480
721	3832	1475
722	3836	1470
723	3841	1464
724	3846	1459
725	3851	1453
726	3856	1448
727	3861	1442
728	3866	1437
729	3871	1431
730	3876	1426
731	3883	1421
732	3893	1418
733	3901	1413
734	3906	1408
735	3911	1403
736	3917	1397
737	3922	1392
738	3927	1387
739	3932	1381
740	3936	1376
741	3941	1370
742	3946	1365
743	3951	1359
744	3953	1353
745	3958	1347
746	3961	1341
747	3966	1336
748	3971	1330
749	3976	1325
750	3982	1320
751	3987	1315
752	3993	1309
753	3998	1304
754	4003	1299
755	4008	1293
756	4013	1288
757	4018	1282
758	4022	1277
759	4027	1271
760	4032	1266
761	4037	1261
762	4042	1255
763	4047	1250
764	4052	1244
765	4056	1239
766	4061	1233
767	4067	1228
768	4076	1224
769	4081	1219
770	4087	1214
771	4093	1209
772	4098	1203
773	4105	1198
774	4110	1193
775	4115	1188
776	4120	1182
777	4125	1177
778	4130	1171
779	4135	1166
